Competition,Phase,Ronda,Dia,Hora,Local,Visitante,Localscore,Roadscore,Arbitros,Plusminus,Winner,Ganador
Euroleague,Regular Season,1,2023-10-05,19:00:00,Crvena Zvezda Meridianbet Belgrade,LDLC ASVEL Villeurbanne,94,73,"['ROCHA, FERNANDO', 'PATERNICO, CARMELO', 'PASTUSIAK, PIOTR']",21,Crvena Zvezda Meridianbet Belgrade,Local
Euroleague,Regular Season,1,2023-10-05,20:05:00,Maccabi Playtika Tel Aviv,Partizan Mozzart Bet Belgrade,96,81,"['PEREZ, MIGUEL ANGEL', 'VILIUS, GYTIS', 'KARDUM, LUKA']",15,Maccabi Playtika Tel Aviv,Local
Euroleague,Regular Season,1,2023-10-05,20:30:00,Virtus Segafredo Bologna,Zalgiris Kaunas,79,82,"['BOLTAUZER, MATEJ', 'PANTHER, ANNE', 'SILVA, SERGIO']",-3,Zalgiris Kaunas,Visitante
Euroleague,Regular Season,1,2023-10-05,20:30:00,FC Bayern Munich,ALBA Berlin,80,68,"['GARCIA, JUAN CARLOS', 'LATISEVS, OLEGS', 'SUKYS, ARTURAS']",12,FC Bayern Munich,Local
Euroleague,Regular Season,1,2023-10-05,20:30:00,FC Barcelona,Anadolu Efes Istanbul,91,74,"['RADOVIC, SRETEN', 'DIFALLAH, MEHDI', 'JOVCIC, MILIVOJE']",17,FC Barcelona,Local
Euroleague,Regular Season,1,2023-10-06,19:45:00,Fenerbahce Beko Istanbul,EA7 Emporio Armani Milan,85,82,"['PUKL,SASA', 'PERUGA, CARLOS', 'NIKOLIC, UROS']",3,Fenerbahce Beko Istanbul,Local
Euroleague,Regular Season,1,2023-10-06,20:15:00,Panathinaikos AKTOR Athens,Olympiacos Piraeus,78,88,"['LOTTERMOSER, ROBERT', 'PEREZ, EMILIO', 'NEDOVIC, MILAN']",-10,Olympiacos Piraeus,Visitante
Euroleague,Regular Season,1,2023-10-06,20:30:00,Valencia Basket,AS Monaco,70,65,"['JAVOR, DAMIR', 'HORDOV, TOMISLAV ', 'PEERANDI, RAIN']",5,Valencia Basket,Local
Euroleague,Regular Season,1,2023-10-06,20:30:00,Baskonia Vitoria-Gasteiz,Real Madrid,77,79,"['BELOSEVIC, ILIJA', 'MOGULKOC, EMIN', 'RACYS, SAULIUS']",-2,Real Madrid,Visitante
Euroleague,Regular Season,2,2023-10-12,19:30:00,Anadolu Efes Istanbul,Real Madrid,80,103,"['BOLTAUZER, MATEJ', 'NIKOLIC, UROS', 'BISSANG, JOSEPH']",-23,Real Madrid,Visitante
Euroleague,Regular Season,2,2023-10-12,20:00:00,LDLC ASVEL Villeurbanne,Partizan Mozzart Bet Belgrade,62,88,"['LOTTERMOSER, ROBERT', 'MOGULKOC, EMIN', 'RADOJKOVIC, JOSIP ']",-26,Partizan Mozzart Bet Belgrade,Visitante
Euroleague,Regular Season,2,2023-10-12,20:00:00,ALBA Berlin,Baskonia Vitoria-Gasteiz,86,91,"['ROCHA, FERNANDO', 'KOLJENSIC, MILOS ', 'TRAWICKI, TOMASZ']",-5,Baskonia Vitoria-Gasteiz,Visitante
Euroleague,Regular Season,2,2023-10-12,20:15:00,Panathinaikos AKTOR Athens,FC Bayern Munich,78,71,"['BELOSEVIC, ILIJA', 'PERUGA, CARLOS', 'MAJKIC, MARIO ']",7,Panathinaikos AKTOR Athens,Local
Euroleague,Regular Season,2,2023-10-13,19:00:00,Zalgiris Kaunas,Crvena Zvezda Meridianbet Belgrade,79,74,"['DIFALLAH, MEHDI', 'NEDOVIC, MILAN', 'CORTES, CARLOS']",5,Zalgiris Kaunas,Local
Euroleague,Regular Season,2,2023-10-13,19:00:00,AS Monaco,Virtus Segafredo Bologna,59,83,"['RADOVIC, SRETEN', 'LATISEVS, OLEGS', 'ALIAGA, JORDI']",-24,Virtus Segafredo Bologna,Visitante
Euroleague,Regular Season,2,2023-10-13,20:15:00,Olympiacos Piraeus,FC Barcelona,68,77,"['PUKL,SASA', 'VILIUS, GYTIS', 'SILVA, SERGIO']",-9,FC Barcelona,Visitante
Euroleague,Regular Season,2,2023-10-13,20:30:00,Valencia Basket,Fenerbahce Beko Istanbul,77,74,"['JOVCIC, MILIVOJE', 'PANTHER, ANNE', 'ZAMOJSKI, JAKUB']",3,Valencia Basket,Local
Euroleague,Regular Season,2,2023-10-31,20:30:00,EA7 Emporio Armani Milan,Maccabi Playtika Tel Aviv,90,98,"['JAVOR, DAMIR', 'PANTHER, ANNE', 'KOWALSKI, MARCIN']",-8,Maccabi Playtika Tel Aviv,Visitante
Euroleague,Regular Season,3,2023-10-17,18:30:00,Partizan Mozzart Bet Belgrade,FC Barcelona,83,92,"['ROCHA, FERNANDO', 'PASTUSIAK, PIOTR', 'SUKYS, ARTURAS']",-9,FC Barcelona,Visitante
Euroleague,Regular Season,3,2023-10-17,19:15:00,Fenerbahce Beko Istanbul,Panathinaikos AKTOR Athens,83,69,"['RADOVIC, SRETEN', 'PATERNICO, CARMELO', 'CICI, GENTIAN']",14,Fenerbahce Beko Istanbul,Local
Euroleague,Regular Season,3,2023-10-17,19:30:00,Anadolu Efes Istanbul,LDLC ASVEL Villeurbanne,89,84,"['PEREZ, EMILIO', 'PETEK, SASO', 'KONSTANTINOVS, KRISTAPS']",5,Anadolu Efes Istanbul,Local
Euroleague,Regular Season,3,2023-10-17,20:30:00,Baskonia Vitoria-Gasteiz,FC Bayern Munich,68,76,"['DIFALLAH, MEHDI', 'FOUFIS, IOANNIS', 'RADOJKOVIC, JOSIP ']",-8,FC Bayern Munich,Visitante
Euroleague,Regular Season,3,2023-10-17,20:45:00,Real Madrid,Zalgiris Kaunas,93,79,"['JAVOR, DAMIR', 'JOVCIC, MILIVOJE', 'KOLJENSIC, MILOS ']",14,Real Madrid,Local
Euroleague,Regular Season,3,2023-10-17,20:45:00,EA7 Emporio Armani Milan,Olympiacos Piraeus,65,53,"['BOLTAUZER, MATEJ', 'LEZCANO, LEANDRO', 'CORTES, CARLOS']",12,EA7 Emporio Armani Milan,Local
Euroleague,Regular Season,3,2023-10-18,20:00:00,Crvena Zvezda Meridianbet Belgrade,AS Monaco,76,82,"['PUKL,SASA', 'RACYS, SAULIUS', 'KARDUM, LUKA']",-6,AS Monaco,Visitante
Euroleague,Regular Season,3,2023-10-18,20:30:00,Virtus Segafredo Bologna,ALBA Berlin,87,76,"['MOGULKOC, EMIN', 'BISSANG, JOSEPH', 'BALAK, AMIT']",11,Virtus Segafredo Bologna,Local
Euroleague,Regular Season,3,2023-10-18,20:30:00,Valencia Basket,Maccabi Playtika Tel Aviv,75,66,"['BELOSEVIC, ILIJA', 'ROSSI, MICHELE', 'TSAROUCHA, VASILIKI']",9,Valencia Basket,Local
Euroleague,Regular Season,4,2023-10-19,19:45:00,Fenerbahce Beko Istanbul,LDLC ASVEL Villeurbanne,101,86,"['BOLTAUZER, MATEJ', 'TRAWICKI, TOMASZ', 'BAENA, ALBERTO']",15,Fenerbahce Beko Istanbul,Local
Euroleague,Regular Season,4,2023-10-19,20:15:00,Olympiacos Piraeus,Partizan Mozzart Bet Belgrade,98,94,"['PATERNICO, CARMELO', 'ALIAGA, JORDI', 'MAJKIC, MARIO ']",4,Olympiacos Piraeus,Local
Euroleague,Regular Season,4,2023-10-19,20:30:00,Baskonia Vitoria-Gasteiz,Zalgiris Kaunas,82,99,"['PASTUSIAK, PIOTR', 'KOWALSKI, MARCIN', 'PEER, ADAR']",-17,Zalgiris Kaunas,Visitante
Euroleague,Regular Season,4,2023-10-19,20:45:00,Real Madrid,EA7 Emporio Armani Milan,88,71,"['RADOVIC, SRETEN', 'VILIUS, GYTIS', 'PETEK, SASO']",17,Real Madrid,Local
Euroleague,Regular Season,4,2023-10-20,19:00:00,AS Monaco,ALBA Berlin,86,75,"['PEREZ, MIGUEL ANGEL', 'SHEMMESH, SEFFI', 'HALLIKO, AARE']",11,AS Monaco,Local
Euroleague,Regular Season,4,2023-10-20,19:30:00,Anadolu Efes Istanbul,Valencia Basket,77,73,"['ROCHA, FERNANDO', 'LATISEVS, OLEGS', 'BISSUEL, THOMAS']",4,Anadolu Efes Istanbul,Local
Euroleague,Regular Season,4,2023-10-20,20:15:00,Panathinaikos AKTOR Athens,Maccabi Playtika Tel Aviv,81,86,"['LOTTERMOSER, ROBERT', 'NIKOLIC, UROS', 'PEERANDI, RAIN']",-5,Maccabi Playtika Tel Aviv,Visitante
Euroleague,Regular Season,4,2023-10-20,20:30:00,Virtus Segafredo Bologna,Crvena Zvezda Meridianbet Belgrade,85,79,"['PERUGA, CARLOS', 'DRAGOJEVIC, IGOR', 'THEPENIER, HUGUES']",6,Virtus Segafredo Bologna,Local
Euroleague,Regular Season,4,2023-10-20,20:30:00,FC Barcelona,FC Bayern Munich,98,59,"['HORDOV, TOMISLAV ', 'UDYANSKYY, EDUARD', 'OBRKNEZEVIC, UROS ']",39,FC Barcelona,Local
Euroleague,Regular Season,5,2023-10-26,18:30:00,Partizan Mozzart Bet Belgrade,Crvena Zvezda Meridianbet Belgrade,88,86,"['PEREZ, MIGUEL ANGEL', 'VILIUS, GYTIS', 'PEERANDI, RAIN']",2,Partizan Mozzart Bet Belgrade,Local
Euroleague,Regular Season,5,2023-10-26,20:00:00,ALBA Berlin,EA7 Emporio Armani Milan,85,82,"['PEREZ, EMILIO', 'DRAGOJEVIC, IGOR', 'HADZIC, DENIS']",3,ALBA Berlin,Local
Euroleague,Regular Season,5,2023-10-26,20:45:00,Real Madrid,FC Barcelona,65,64,"['BELOSEVIC, ILIJA', 'NEDOVIC, MILAN', 'KARDUM, LUKA']",1,Real Madrid,Local
Euroleague,Regular Season,5,2023-10-26,21:00:00,AS Monaco,Maccabi Playtika Tel Aviv,107,79,"['PERUGA, CARLOS', 'PASTUSIAK, PIOTR', 'SUKYS, ARTURAS']",28,AS Monaco,Local
Euroleague,Regular Season,5,2023-10-26,21:00:00,Olympiacos Piraeus,Anadolu Efes Istanbul,75,57,"['GARCIA, JUAN CARLOS', 'DIFALLAH, MEHDI', 'KOLJENSIC, MILOS ']",18,Olympiacos Piraeus,Local
Euroleague,Regular Season,5,2023-10-27,19:00:00,Zalgiris Kaunas,Valencia Basket,72,87,"['MOGULKOC, EMIN', 'PANTHER, ANNE', 'CELIK, HUSEYIN']",-15,Valencia Basket,Visitante
Euroleague,Regular Season,5,2023-10-27,20:00:00,LDLC ASVEL Villeurbanne,Virtus Segafredo Bologna,84,87,"['PUKL,SASA', 'ZAMOJSKI, JAKUB', 'LEZCANO, LEANDRO']",-3,Virtus Segafredo Bologna,Visitante
